original,translated,score,year,source
"Please make sure to give the correct measurement for network bandwidth. For example, when checking the ""unlimited packages"", it's mentioned as ""2 or 4 Mbps"" While I think it should be""MBps"" The lowercase and uppercase""b/B"" has 2 different meanings. If the mentioned measurement is correct and that's what we get, then the speed is alarming for 2023. Apart from that, overall app does justice, at least to my needs.","Please make sure to give the correct measurement for network bandwidth. For example, when checking the ""unlimited packages"", it's mentioned as ""2 or 4 Mbps"" While I think it should be""MBps"" The lowercase and uppercase""b/B"" has 2 different meanings. If the mentioned measurement is correct and that's what we get, then the speed is alarming for 2023. Apart from that, overall app does justice, at least to my needs.",4,2023.0,Google Play
super app,super app,5,2023.0,Google Play
SLT MOBITEL 🚫 PLEASE 🙏 MAKE THE WORTHFUL APP,SLT MOBITEL 🚫 PLEASE 🙏 MAKE THE WORTHFUL APP,1,2023.0,Google Play
Have develop more options and interface,Have develop more options and interface,3,2023.0,Google Play
please improve the UI,please improve the UI,4,2023.0,Google Play
It will be better If you give to access to pay in helakuru,It will be better If you give to access to pay in helakuru,3,2023.0,Google Play
It wants more devolpment,It wants more devolpment,2,2023.0,Google Play
Can you guys reduce the price of fiber package bye even reducing the data size of package,Can you guys reduce the price of fiber package bye even reducing the data size of package,3,2023.0,Google Play
SUPERR APP,SUPERR APP,4,2022.0,Google Play
How to register my router on this app?,How to register my router on this app?,4,2022.0,Google Play
Make UI user friendly :),Make UI user friendly :),3,2022.0,Google Play
This is the worst app ever. Can't even register and now they want us to use this to check our fiber adsl usage. Can't even add accounts.,This is the worst app ever. Can't even register and now they want us to use this to check our fiber adsl usage. Can't even add accounts.,1,2022.0,Google Play
Add refresh function,Add refresh function,4,2022.0,Google Play
Hope you guys can have the payment process improved. It is cumbersome to insert account details every time. Otherwise relatively better than previous app.,Hope you guys can have the payment process improved. It is cumbersome to insert account details every time. Otherwise relatively better than previous app.,4,2022.0,Google Play
Need SLT broadband app!!,Need SLT broadband app!!,1,2022.0,Google Play
Gamer lite package eka Epic games launcher ekata daanna barida,Gamer Lite Package eka Epic Games Launcher Ekata Daanna Barida,5,2022.0,Google Play
Please add the option to at through AMEX.,Please add the option to at through AMEX.,2,2022.0,Google Play
Easy to use and usefull...must add a refresh option when in the app..🙂👍,Easy to use and usefull...must add a refresh option when in the app..🙂👍,4,2022.0,Google Play
Why cant you just upgrade this to a next level. When you guys put ads in the tv make sure the app has a good interface at least.,Why cant you just upgrade this to a next level. When you guys put ads in the tv make sure the app has a good interface at least.,1,2022.0,Google Play
Please subscribe Tech Tube Chamiru youtube channel,Please subscribe Tech Tube Chamiru youtube channel,5,2021.0,Google Play
I want to get a fiber connection,I want to get a fiber connection,5,2021.0,Google Play
Please Update UI,Please Update UI,3,2021.0,Google Play
The app seems good. What about ths signal strength? Please enhance it other wise the app will be a waste.,The app seems good. What about ths signal strength? Please enhance it other wise the app will be a waste.,2,2021.0,Google Play
Can we have a twitter package with other messaging apps?,Can we have a twitter package with other messaging apps?,4,2021.0,Google Play
Can i use this app for my 4g broadband connection ? What Number i should use Subcriber ID or the Account ID ?,Can i use this app for my 4g broadband connection ? What Number i should use Subcriber ID or the Account ID ?,1,2021.0,Google Play
Good app but please add more new data monthly pakages.,Good app but please add more new data monthly pakages.,3,2021.0,Google Play
Good app.. Please add a refresh option.. After add a package need to restart app to show the details... Anith okkoma hodai..,Good app.. Please add a refresh option.. After add a package need to restart app to show the details... Anith okkoma hodai..,3,2021.0,Google Play
PLEASE UNLIMITED DATA PLEASE TIK TOK DATA PACKAGE PLEASE,PLEASE UNLIMITED DATA PLEASE TIK TOK DATA PACKAGE PLEASE,1,2021.0,Google Play
Sir can you change the interface to friendly and improve the speed to loading soon Because thats so cool to your app Then i give you 3 stars after update i give 5 stars on ratings .. Thank you,Sir can you change the interface to friendly and improve the speed to loading soon Because thats so cool to your app Then i give you 3 stars after update i give 5 stars on ratings .. Thank you,3,2021.0,Google Play
Application can't attach a location. Please add the location picker to get exact location. And can't submit complains too.,Application can't attach a location. Please add the location picker to get exact location. And can't submit complains too.,1,2021.0,Google Play
"Usefull app but bad interface, upgrade it look like minimalist interface. 😞😞🙁","Usefull app but bad interface, upgrade it look like minimalist interface. 😞😞🙁",4,2021.0,Google Play
Need more facilities,Need more facilities,1,2021.0,Google Play
Supper app,Supper app,5,2021.0,Google Play
"Please enhance the complaint section in the app by providing a status of the complaint(successful/failed). When I tried to file a complaint using this app, it did not give any feedback nor returned to the previous state. Therefore, I clicked the submit button multiple times which resulted in multiple complaints. Please fix this","Please enhance the complaint section in the app by providing a status of the complaint(successful/failed). When I tried to file a complaint using this app, it did not give any feedback nor returned to the previous state. Therefore, I clicked the submit button multiple times which resulted in multiple complaints. Please fix this",4,2021.0,Google Play
More convenient & info.,More convenient & info.,5,2021.0,Google Play
No any way to view the detailed bill ? Also only ebill or post. Cant we get both facility with any value added,No any way to view the detailed bill ? Also only ebill or post. Cant we get both facility with any value added,3,2021.0,Google Play
"Really helpful to add Extra GB, pay bills etc","Really helpful to add Extra GB, pay bills etc",5,2021.0,Google Play
Cool UI and the functions are also working fine in my phone.It's better if you guys can improve the colors .,Cool UI and the functions are also working fine in my phone.It's better if you guys can improve the colors .,5,2021.0,Google Play
"Worst app, improve some features","Worst app, improve some features",1,2021.0,Google Play
Please add VIEW BILL option payment history and bill history,Please add VIEW BILL option payment history and bill history,5,2020.0,Google Play
Why can't you guys show the usage simply in MB or GB instead of the percentage. One more thing this app only shows me the usage of the day bundle and the usage of the whole bundle. It is confusing. If you guys issue data as day and night bundles why don't you show the usage like that...,Why can't you guys show the usage simply in MB or GB instead of the percentage. One more thing this app only shows me the usage of the day bundle and the usage of the whole bundle. It is confusing. If you guys issue data as day and night bundles why don't you show the usage like that...,1,2020.0,Google Play
SUPER,SUPER,5,2020.0,Google Play
Super App,Super App,5,2020.0,Google Play
Great app But it could be great if you can merge my SLT app with this,Great app But it could be great if you can merge my SLT app with this,5,2020.0,Google Play
We don't wait for mail to bill payment also Use full app and Need to some improvement.,We don't wait for mail to bill payment also Use full app and Need to some improvement.,4,2020.0,Google Play
"You should merge myslt app into this app need data usage summary. Cant use 2,3 apps make it as a one app","You should merge myslt app into this app need data usage summary. Cant use 2,3 apps make it as a one app",1,2020.0,Google Play
Most wanted app..👍,Most wanted app..👍,5,2020.0,Google Play
Almost all the functions in a single app to manage my SLT account. Hope SLT will add rest of the functions to the same app making this one-stop solution as described.,Almost all the functions in a single app to manage my SLT account. Hope SLT will add rest of the functions to the same app making this one-stop solution as described.,5,2020.0,Google Play
