userName,content,score,date,source,translated_content,year
Eranga Priyadarshana,poor,1,2025-05-22 16:44:33,Google Play,poor,2025.0
Rodger Jay,"useless app, full of bugs",1,2025-05-22 13:01:51,Google Play,"useless app, full of bugs",2025.0
Ruchira Kotuwegedara,completely mess,1,2025-05-21 09:31:27,Google Play,completely mess,2025.0
Sadhana Gayani,most of the time app is not working unavailable very bad app,1,2025-05-21 06:51:09,Google Play,most of the time app is not working unavailable very bad app,2025.0
yasiru geevinda,very poor experience. full of bugs.,1,2025-05-20 15:16:47,Google Play,very poor experience. full of bugs.,2025.0
Ahamed Anees Mohamed Jamaldeen,yes very good 👍,5,2025-05-19 15:37:18,Google Play,yes very good 👍,2025.0
Keshan Chathuranga,Just another usefulness app,1,2025-05-11 17:19:06,Google Play,Just another usefulness app,2025.0
Charith Priyanka,superb support,5,2025-05-07 22:28:25,Google Play,superb support,2025.0
wathsara wanniarachchi,Can't even change contact information. Edit:-The dev team behind this app have to be the most incompetent team of software devs on any app it's been a month and a half and they still haven't fixed the issue nice job,1,2025-05-07 02:49:27,Google Play,Can't even change contact information. Edit:-The dev team behind this app have to be the most incompetent team of software devs on any app it's been a month and a half and they still haven't fixed the issue nice job,2025.0
Nayana Wickramasinghe,A useless app with no updates and most of the links are not working. Tried removing and re installing with the same experience. Made a complaint but they have no clue whatvs wrong with their app.,1,2025-05-05 18:59:40,Google Play,A useless app with no updates and most of the links are not working. Tried removing and re installing with the same experience. Made a complaint but they have no clue whatvs wrong with their app.,2025.0
Nathija Nimantha,"I've been trying to update my email on the MySLT app for nearly two months, and every time I get the same message: ""Service temporarily unavailable."" It's beyond frustrating. On top of that, I no longer receive my monthly bill via email, which makes things even more inconvenient. This is a basic feature that should work properly, and it's disappointing that SLT hasn't fixed it after all this time. Please prioritize your users and sort these issues out.",1,2025-05-02 05:30:54,Google Play,"I've been trying to update my email on the MySLT app for nearly two months, and every time I get the same message: ""Service temporarily unavailable."" It's beyond frustrating. On top of that, I no longer receive my monthly bill via email, which makes things even more inconvenient. This is a basic feature that should work properly, and it's disappointing that SLT hasn't fixed it after all this time. Please prioritize your users and sort these issues out.",2025.0
nilan jaya,In my SLT app unable to fine my package details. It's says package details unavailable in data it's says insufficient permissions why?,3,2025-05-01 03:55:48,Google Play,In my SLT app unable to fine my package details. It's says package details unavailable in data it's says insufficient permissions why?,2025.0
Rusara Fernando,"Terrible user experience. Half the features don’t work properly, and it takes forever to load anything. For a major telecom provider, this app is way below expectations.",1,2025-04-30 12:48:13,Google Play,"Terrible user experience. Half the features don’t work properly, and it takes forever to load anything. For a major telecom provider, this app is way below expectations.",2025.0
Chamod Ishankha,"Bad experience, Very Slow app.",1,2025-04-29 13:04:17,Google Play,"Bad experience, Very Slow app.",2025.0
CGFX Studio,some services are not available end of the month. thank you!,1,2025-04-29 03:18:56,Google Play,some services are not available end of the month. thank you!,2025.0
Ranujitha Niman,Too many bugs and the app crashes way too often.,3,2025-04-28 14:55:06,Google Play,Too many bugs and the app crashes way too often.,2025.0
Mahesh Indika,Garbage Even Cannot Log into the Account and see the details,1,2025-04-28 13:55:33,Google Play,Garbage Even Cannot Log into the Account and see the details,2025.0
Pasan Seneviratne,"Though it is generally ok, it gets stuck frequently.",3,2025-04-28 12:03:07,Google Play,"Though it is generally ok, it gets stuck frequently.",2025.0
Danidu Pathirana,Horrible,1,2025-04-27 15:29:51,Google Play,Horrible,2025.0
R.Joshua Paranavithana,"Not satisfied at all... Although you reset the password and retype it again, says invalid username and password.. Where's the support team here? Terrible this app...",1,2025-04-25 14:08:33,Google Play,"Not satisfied at all... Although you reset the password and retype it again, says invalid username and password.. Where's the support team here? Terrible this app...",2025.0
Lord Lording,change contact information is not working,1,2025-04-25 02:20:24,Google Play,change contact information is not working,2025.0
Saveen Kalhara,System error is displayed every time when I want to subscribe or unsubscribe a package. can't do anything through the app.,1,2025-04-22 14:52:39,Google Play,System error is displayed every time when I want to subscribe or unsubscribe a package. can't do anything through the app.,2025.0
Adolf Diddler,"What is wrong with the devs? Bro fix the bugs. telling error in information update is not ""Bug fixing"" . disappointed af. worst app ever and slow as Christmas.",1,2025-04-22 14:22:34,Google Play,"What is wrong with the devs? Bro fix the bugs. telling error in information update is not ""Bug fixing"" . disappointed af. worst app ever and slow as Christmas.",2025.0
Sachitha Samadhi,This app has a lot of issues and doesn't work as expected.,1,2025-04-21 18:23:00,Google Play,This app has a lot of issues and doesn't work as expected.,2025.0
Kemitha Sethwin,𝗨𝗹𝘁𝗿𝗮 𝗕𝗮𝗱 𝗦𝗲𝗿𝘃𝗶𝗰𝗲 👹️ And Top Level 𝗕𝘂𝗴𝘀 Software.👾 Very 𝙐𝙣𝙪𝙨𝙚𝙛𝙪𝙡𝙡 Application. Thanks 𝐁𝐔𝐆 𝐒𝐋𝐓 🇱🇰😖😖😖,1,2025-04-19 05:50:24,Google Play,𝗨𝗹𝘁𝗿𝗮 𝗕𝗮𝗱 𝗦𝗲𝗿𝘃𝗶𝗰𝗲 👹️ And Top Level 𝗕𝘂𝗴𝘀 Software.👾 Very 𝙐𝙣𝙪𝙨𝙚𝙛𝙪𝙡𝙡 Application. Thanks 𝐁𝐔𝐆 𝐒𝐋𝐓 🇱🇰😖😖😖,2025.0
Janith Sandaruwan,can't change contact information,1,2025-04-18 13:09:08,Google Play,can't change contact information,2025.0
Kilshan Dissanayaka,not working,1,2025-04-18 04:09:56,Google Play,not working,2025.0
Gaming AB,"Leda godkne htto, ponna slt errors errors carry pnnyo ape salli walin kanawa bonawa app eka hdpn hutto nattn mn branch ekata awith router eka kudu krnwa",1,2025-04-17 16:54:01,Google Play,"Frontball hesitation, esna ert ert erros rose, how good go for the App of the Compan",2025.0
Upekshi Withanachchi,"It was fine, but for the past few days I haven’t been able to update my contact details. If that issue is fixed, the app would be fine for me.",2,2025-04-17 08:47:13,Google Play,"It was fine, but for the past few days I haven’t been able to update my contact details. If that issue is fixed, the app would be fine for me.",2025.0
Yamuna Ratnayaka,full of errors,1,2025-04-17 06:11:42,Google Play,full of errors,2025.0
H SS,Ripping off,1,2025-04-17 04:21:13,Google Play,Ripping off,2025.0
M L weerakoon,😍,5,2025-04-16 04:13:46,Google Play,😍,2025.0
Kamani Priyadarshani,"Can’t update contact info. This is a basic feature that any service provider app should have, and it’s broken or missing in MySLT. Contact details are essential for receiving alerts and updates, so not being able to change them is a serious flaw. Please fix this.",1,2025-04-16 03:26:30,Google Play,"Can’t update contact info. This is a basic feature that any service provider app should have, and it’s broken or missing in MySLT. Contact details are essential for receiving alerts and updates, so not being able to change them is a serious flaw. Please fix this.",2025.0
Vavanathan Karunakaran,very prompt service,4,2025-04-15 16:31:36,Google Play,very prompt service,2025.0
ashan shehara,it's ok.but sometimes I get some errors.if you can fix it this will be a good one.,3,2025-04-14 22:36:28,Google Play,it's ok.but sometimes I get some errors.if you can fix it this will be a good one.,2025.0
Darsha Sandakalum,worst,1,2025-04-14 02:37:42,Google Play,worst,2025.0
Mihiranga Sachcha,"errors,errors errors :(",1,2025-04-12 17:05:42,Google Play,"errors,errors errors :(",2025.0
Upek Anujaya,Better than dialog app that's why i gave you 2 star. edit : I changed my rating thus is worse than dialog app😂,1,2025-04-11 09:43:42,Google Play,Better than dialog app that's why i gave you 2 star. edit : I changed my rating thus is worse than dialog app😂,2025.0
Nishantha Pushpakumara,can't change contact information,1,2025-04-10 16:51:32,Google Play,can't change contact information,2025.0
Nisal Kavinda Dissanayake,always shows errors,1,2025-04-10 08:45:09,Google Play,always shows errors,2025.0
Wasanthi Pranando,useless app.,1,2025-04-09 15:54:28,Google Play,useless app.,2025.0
Yohan Weerasinghe,"It's just another primitive app from the 2nd largest Telcom service provider in Sri Lanka. And it's the national Telcom in the country. Functionalities are very, very limited. The app shows many functions, but usability is almost zero. I believe the design to deliver should be based on customer centric. The teams over there should think differently, or people with different thoughts should replace this national company.",1,2025-04-09 04:57:51,Google Play,"It's just another primitive app from the 2nd largest Telcom service provider in Sri Lanka. And it's the national Telcom in the country. Functionalities are very, very limited. The app shows many functions, but usability is almost zero. I believe the design to deliver should be based on customer centric. The teams over there should think differently, or people with different thoughts should replace this national company.",2025.0
Mr. La-Z-Man,I cant update my contact information.Popup says sorry the service temporary unavailable. since 3 days. I cant change my mail,1,2025-04-08 07:15:33,Google Play,I cant update my contact information.Popup says sorry the service temporary unavailable. since 3 days. I cant change my mail,2025.0
Sriyan Anuruddha,Worst app ever,1,2025-04-07 09:26:39,Google Play,Worst app ever,2025.0
Vinura Perera,"The have a lot of packages for Social Mediacs and all, but they stop working as soon as the gb's in the monthly package is over. What kind of a scam is this? You have to put extra gbs even to use the data in other packages. Disgusting 🤮",1,2025-03-30 10:55:48,Google Play,"The have a lot of packages for Social Mediacs and all, but they stop working as soon as the gb's in the monthly package is over. What kind of a scam is this? You have to put extra gbs even to use the data in other packages. Disgusting 🤮",2025.0
Suresh Dias,"always ""service temporary anavailable"" message appears",1,2025-03-26 18:23:28,Google Play,"always ""service temporary anavailable"" message appears",2025.0
Asitha,good 👍,5,2025-03-25 18:14:44,Google Play,good 👍,2025.0
Wanda Christy,Never works when you want it to. Truly a sorry excuse for an App.,1,2025-03-25 08:51:46,Google Play,Never works when you want it to. Truly a sorry excuse for an App.,2025.0
Vinod Lakmal Weligama,very bad app useless,1,2025-03-21 03:21:32,Google Play,very bad app useless,2025.0
Sanjeewa Senarathna,awful,1,2025-03-19 15:15:09,Google Play,awful,2025.0
Kankanammanage Asoka,very good 👍 👏 👌 😀,5,2025-03-16 06:06:38,Google Play,very good 👍 👏 👌 😀,2025.0
Anujan Pushparaj,Can't even log in properly,1,2025-03-14 06:26:38,Google Play,Can't even log in properly,2025.0
anupama wijetunga,Useless app,1,2025-03-13 07:22:37,Google Play,Useless app,2025.0
Roshan Chamika,Same like their connection. A worst app😠,1,2025-03-09 15:31:47,Google Play,Same like their connection. A worst app😠,2025.0
Kaumi Thilakarathna,This app is completely useless 😒 Full of Errors. Don't waste your time or storage space on this app.,1,2025-03-01 16:08:00,Google Play,This app is completely useless 😒 Full of Errors. Don't waste your time or storage space on this app.,2025.0
Atheeth reh,I Can not download bill . Please fix this issue.,2,2025-02-24 12:53:39,Google Play,I Can not download bill . Please fix this issue.,2025.0
Chamika Wickramasingha,The most badexpirienced ever with a network. Not reccommend to anyone to use this.If anyone wants to choose this app please think 100 times.,1,2025-02-21 16:50:23,Google Play,The most badexpirienced ever with a network. Not reccommend to anyone to use this.If anyone wants to choose this app please think 100 times.,2025.0
Alensun Drilll,Nice,5,2025-02-15 06:07:35,Google Play,Nice,2025.0
zippora Augustine,"Not worth even a single star. The signal connection is terrible, and the customer service is poor. They know they have a poor connection and that customers are facing issues, but they act like there's no problem. We're paying, but the data gets used up quickly without proper coverage. SLT is turning out to be just as bad as Lanka Bell. The coordinators and staff at Aluthmawatha are very lazy. They don’t provide any solutions and just tell us to go to the head office because they themselves do",1,2025-02-12 10:00:44,Google Play,"Not worth even a single star. The signal connection is terrible, and the customer service is poor. They know they have a poor connection and that customers are facing issues, but they act like there's no problem. We're paying, but the data gets used up quickly without proper coverage. SLT is turning out to be just as bad as Lanka Bell. The coordinators and staff at Aluthmawatha are very lazy. They don’t provide any solutions and just tell us to go to the head office because they themselves do",2025.0
Vitharana Prsanna,slow,3,2025-02-10 01:35:11,Google Play,slow,2025.0
Hassan Yaseen,Good service but automated deduction is the unnecessary system,3,2025-02-08 04:43:37,Google Play,Good service but automated deduction is the unnecessary system,2025.0
Yash Charith,Absolutely use less and very buggy 😕,1,2025-02-01 01:37:35,Google Play,Absolutely use less and very buggy 😕,2025.0
Navoda Harshani,Best,5,2025-01-30 15:34:29,Google Play,Best,2025.0
Chamikara Jayarathne,Easy to check the data balance,5,2025-01-27 12:46:22,Google Play,Easy to check the data balance,2025.0
Thurunu Mihiranga,When I try to add extra GB app doesn't show anything,2,2025-01-23 18:18:14,Google Play,When I try to add extra GB app doesn't show anything,2025.0
prabash chaminda,prepaid data not showing,1,2025-01-18 19:42:22,Google Play,prepaid data not showing,2025.0
Dhanika Dhanika,Eww,1,2025-01-18 17:43:49,Google Play,Eww,2025.0
Muhammad Riyas,"Hello, I am 100% sure that your service is better than many other ring making services in Sri Lanka.",5,2025-01-18 12:46:53,Google Play,"Hello, I am 100% sure that your service is better than many other ring making services in Sri Lanka.",2025.0
Lahiru Mihimal,This app always shows me 2 messages 1) Internal server error 2) System error Idk how to deal with these intrusive errors.,1,2025-01-16 15:46:06,Google Play,This app always shows me 2 messages 1) Internal server error 2) System error Idk how to deal with these intrusive errors.,2025.0
Keerthi Gamage,A very useful app,5,2025-01-14 05:20:10,Google Play,A very useful app,2025.0
Mc Jayaweera,"It isn't user-friendly. It's hard to understand and not updated on time. Today's usage is updated tomorrow. If you want an advanced report, I think you need to pay extra. Try to make an app like Dialog Self Care. Live usage updates Easy-to-understand reports Without extra pay or submission.",1,2025-01-13 09:58:14,Google Play,"It isn't user-friendly. It's hard to understand and not updated on time. Today's usage is updated tomorrow. If you want an advanced report, I think you need to pay extra. Try to make an app like Dialog Self Care. Live usage updates Easy-to-understand reports Without extra pay or submission.",2025.0
Nipuna Wackwella,"I was using this app. My bill is also linked to it. However, my details were automatically deleted and then I tried to enter my telephone number, account number and my ID. But i got an error message saying my ID is wrong...",1,2025-01-06 07:32:04,Google Play,"I was using this app. My bill is also linked to it. However, my details were automatically deleted and then I tried to enter my telephone number, account number and my ID. But i got an error message saying my ID is wrong...",2025.0
Thilina Sasanke,"Can't pay bills. Doesn't show anything important data other than Internet Data Balance. So, please pay money for your app developer.",1,2025-01-06 02:24:29,Google Play,"Can't pay bills. Doesn't show anything important data other than Internet Data Balance. So, please pay money for your app developer.",2025.0
Theeraka D,Dont copy virtusa products. Even this app doesn't have multiple payment methods 🤢 Worst App,1,2025-01-03 11:04:46,Google Play,Dont copy virtusa products. Even this app doesn't have multiple payment methods 🤢 Worst App,2025.0
Badur Deen,Useless app fully bugs 🤬,1,2025-01-01 12:05:09,Google Play,Useless app fully bugs 🤬,2025.0
Kalinga Hewageegana,SLT should have Srilanka number 01 fastes and accurate apps. There are highly paying data specialists. But this is just like OLD CTB BUS. NO IMPROVEMENT. Still tickets issuing with hand written tickets. 🤣 Unable to login for make payments. But your information mostly incorrect. Totally disappointed.,1,2024-12-31 06:08:54,Google Play,SLT should have Srilanka number 01 fastes and accurate apps. There are highly paying data specialists. But this is just like OLD CTB BUS. NO IMPROVEMENT. Still tickets issuing with hand written tickets. 🤣 Unable to login for make payments. But your information mostly incorrect. Totally disappointed.,2024.0
Roshan Shanaka,Good,5,2024-12-28 12:53:33,Google Play,Good,2024.0
Sanjana Ayesh,"This app is full of bugs. Looks like they put zero affords to maintain their selfcare app. Honestly, Dialog does a far better job at keeping their app optimised and polished. Dialog selfcare app is beautiful and polished, but SLT app looks like it straight came from the 19s, full of bugs and errors. Just give some attention to your selfcare app",1,2024-12-26 17:19:37,Google Play,"This app is full of bugs. Looks like they put zero affords to maintain their selfcare app. Honestly, Dialog does a far better job at keeping their app optimised and polished. Dialog selfcare app is beautiful and polished, but SLT app looks like it straight came from the 19s, full of bugs and errors. Just give some attention to your selfcare app",2024.0
Sudesh Pathirana,Not working on my opoo f17 device,2,2024-12-18 06:09:54,Google Play,Not working on my opoo f17 device,2024.0
Ruwan Fernando,"Absolutely this app give us valuable information its too value for us day todays purpose and go further assistance thats what so value this app thank you for everything,",5,2024-12-15 23:52:52,Google Play,"Absolutely this app give us valuable information its too value for us day todays purpose and go further assistance thats what so value this app thank you for everything,",2024.0
Sachith Prabathsara,Good..,5,2024-12-13 16:15:35,Google Play,Good..,2024.0
Eshan Gayanga,Worst app I have ever used,1,2024-12-13 15:43:11,Google Play,Worst app I have ever used,2024.0
Padmalatha Herath,Slooaof,1,2024-12-13 08:05:11,Google Play,Slooaof,2024.0
Samadhi Kasthuriarachchi,This app is super................................................,5,2024-12-11 19:29:28,Google Play,This app is super................................................,2024.0
Lasantha Perera,Poor app most of the functions not worked well.otp not received on time.e bill also not received to email.,1,2024-12-07 09:59:40,Google Play,Poor app most of the functions not worked well.otp not received on time.e bill also not received to email.,2024.0
Dimuth Perera,Ok,4,2024-12-06 08:44:59,Google Play,Ok,2024.0
ThuJi Mayuran,"The app is improving, please add dark mode and an option to download or view the detailed Bill on the app itself.",3,2024-12-06 05:58:59,Google Play,"The app is improving, please add dark mode and an option to download or view the detailed Bill on the app itself.",2024.0
Supun Laurence,Finally SLT decided to give the app development to advance students. But those advance level students not yet learnt ISO. Funny.,2,2024-12-05 07:32:57,Google Play,Finally SLT decided to give the app development to advance students. But those advance level students not yet learnt ISO. Funny.,2024.0
lawrence perera,Good,5,2024-12-02 10:31:59,Google Play,Good,2024.0
Gayan Gune,"Do not do force update, it always blocks user action when there is a connectivity issues and there's no data to update. very inconvenient",1,2024-12-02 06:56:59,Google Play,"Do not do force update, it always blocks user action when there is a connectivity issues and there's no data to update. very inconvenient",2024.0
Heshan Musix,Good,5,2024-12-02 05:22:56,Google Play,Good,2024.0
Madhavi Peiris,This app is superb,5,2024-12-01 01:22:32,Google Play,This app is superb,2024.0
udara laksitha,Worst app ever used,1,2024-11-30 13:37:06,Google Play,Worst app ever used,2024.0
Tharusha Aloka,"When at an urgent situation , this app always doesn't work. It made me helpless many times. One of the worst apps I have ever seen.",1,2024-11-29 13:37:34,Google Play,"When at an urgent situation , this app always doesn't work. It made me helpless many times. One of the worst apps I have ever seen.",2024.0
Dilruk Jayasinghe,Not recommended to pay. The app itself does not provide a way to get an e-bill for the relevant month. Mobitel Selfcare app has those features.,1,2024-11-28 12:43:52,Google Play,Not recommended to pay. The app itself does not provide a way to get an e-bill for the relevant month. Mobitel Selfcare app has those features.,2024.0
indika kumari,Very bad becuse this new update it isnt work,1,2024-11-27 03:56:03,Google Play,Very bad becuse this new update it isnt work,2024.0
Munidasa Gunasinghe,Useful .,5,2024-11-26 03:48:47,Google Play,Useful .,2024.0
fashion design,The app is ok but the mesurment makes false as my 40 gb finishes in days 10 days .so if you all can see why this happens .otherwise everythings fine and fast,4,2024-11-26 00:38:56,Google Play,The app is ok but the mesurment makes false as my 40 gb finishes in days 10 days .so if you all can see why this happens .otherwise everythings fine and fast,2024.0
Jayanthe Senarathne,Very unprofessional.,1,2024-11-25 13:26:51,Google Play,Very unprofessional.,2024.0
Bharath Fernando,Vary poor,3,2024-11-25 08:03:27,Google Play,Vary poor,2024.0
Shagar Thangaraj,Mobile online payment gateway is not working.. Please fix it .. couldn't pay the bills,2,2024-11-25 02:35:58,Google Play,Mobile online payment gateway is not working.. Please fix it .. couldn't pay the bills,2024.0
Udara Gunawardhana,Add a refresh button,4,2024-11-24 19:17:43,Google Play,Add a refresh button,2024.0
Lakmali Gamage,Gooooooooœd🤑🤑🤑😑,5,2024-11-24 04:07:56,Google Play,Gooooooooœd🤑🤑🤑😑🤑🤑🤑😑,2024.0
Pasindu Mihiranga Thilakarathne,Please make a userfriendly interface than now one,1,2024-11-23 14:23:46,Google Play,Please make a userfriendly interface than now one,2024.0
Eshan Praneeth,bill එක online pay කරන option එක active කරානම් ගොඩක් වටිනව,3,2024-11-23 14:08:49,Google Play,bill එක online pay කරන option එක active කරානම් ගොඩක් වටිනව,2024.0
Isuru Anuradha,Good 👍😊,5,2024-11-23 13:15:18,Google Play,Good 👍😊,2024.0
Azaath Haniffa,Prompt and user friendly ♥️,5,2024-11-23 11:22:47,Google Play,Prompt and user friendly ♥️,2024.0
nalin ranasinghe,Good,5,2024-11-23 09:15:30,Google Play,Good,2024.0
saman ekanayake,Very difficult to log in,1,2024-11-23 04:20:50,Google Play,Very difficult to log in,2024.0
Blue Sky,👍,5,2024-11-22 13:12:20,Google Play,👍,2024.0
Rukshan Sathsara,ඇප් එක නම් සුපිරී. ඒත් වෙලාවකට පිස්සු කෙලිනවනෙ 🥺💔,5,2024-11-22 09:52:27,Google Play,ඇප් එක නම් සුපිරී. ඒත් වෙලාවකට පිස්සු කෙලිනවනෙ 🥺💔,2024.0
sineth kahagalage,Soo much better than dialog. 24 work. Fantastic,5,2024-11-21 19:03:10,Google Play,Soo much better than dialog. 24 work. Fantastic,2024.0
Dulanjith Dinaruwan,Newest update is adorable,4,2024-11-21 12:43:41,Google Play,Newest update is adorable,2024.0
Priya Moon,Excellent,5,2024-11-21 10:01:27,Google Play,Excellent,2024.0
danji fernando,"Poor app with poor customer service as well. Customer service officers are not trained well to handle customer complaints. I made several complaints via the app and 1212 since 4 days now, no actions were taken to sort out the matter and all they do request customer to call different officers without they attend to the customer matter internally. Instead they scold the customer and specially the technical team in Negombo branch is terrible and not professional at all. Very much disappointed.",1,2024-11-16 07:51:57,Google Play,"Poor app with poor customer service as well. Customer service officers are not trained well to handle customer complaints. I made several complaints via the app and 1212 since 4 days now, no actions were taken to sort out the matter and all they do request customer to call different officers without they attend to the customer matter internally. Instead they scold the customer and specially the technical team in Negombo branch is terrible and not professional at all. Very much disappointed.",2024.0
Mohammed Yasir Zia,Hopeless app always sign in issues and not at all user friendly,1,2024-11-15 16:21:34,Google Play,Hopeless app always sign in issues and not at all user friendly,2024.0
Asitha Wijerathne,The worst app I've seen in my life.,1,2024-11-14 03:47:50,Google Play,The worst app I've seen in my life.,2024.0
sanduni nimsha,Worst service. I got 15 GB and I didn't do anything. But after 3 days data is almost finished,1,2024-11-13 16:56:00,Google Play,Worst service. I got 15 GB and I didn't do anything. But after 3 days data is almost finished,2024.0
Janith Fernando,Why the remaining data is not displayed for Unlimited Flash 10 users???,1,2024-11-08 15:21:17,Google Play,Why the remaining data is not displayed for Unlimited Flash 10 users???,2024.0
Chandika Watawala,"This is the useless signup and login process that have seen, and it is a worst app ever.",1,2024-10-31 09:14:54,Google Play,"This is the useless signup and login process that have seen, and it is a worst app ever.",2024.0
Ridma Oshanthi,The worst app.. There are full of errors,1,2024-10-22 04:18:39,Google Play,The worst app.. There are full of errors,2024.0
ROSE GIRL,It's good,2,2024-10-22 03:58:47,Google Play,It's good,2024.0
Sanuga Nimnal,SLT Fibre WIFI speed is low since Oct 2024,1,2024-10-17 16:27:07,Google Play,SLT Fibre WIFI speed is low since Oct 2024,2024.0
sammani Rambukanga,I paid for a fiber connection a week ago. But still they have been unable to give the connection. When I try to contact the responsible people they don't answer calls. Not recommend slt to anyone.,1,2024-10-16 12:05:14,Google Play,I paid for a fiber connection a week ago. But still they have been unable to give the connection. When I try to contact the responsible people they don't answer calls. Not recommend slt to anyone.,2024.0
Navidu Ashan,🥵🥵🥵🥵,1,2024-10-12 08:03:20,Google Play,🥵🥵🥵🥵,2024.0
ROYSON EDITZ,Not working signup always showing error SLT website also same,1,2024-10-11 17:23:32,Google Play,Not working signup always showing error SLT website also same,2024.0
Ravishan Kavindu,Jarama app eka 😒,1,2024-10-11 14:22:40,Google Play,Jarama app eka 😒,2024.0
Art 9,This is the slowest Internet Provider in Sri Lanka.. Please don't use SLTMobitel,1,2024-10-11 13:55:04,Google Play,This is the slowest Internet Provider in Sri Lanka.. Please don't use SLTMobitel,2024.0
Keshi Weerasekara,This app hasn't been working since October 🤑,1,2024-10-11 01:15:30,Google Play,This app hasn't been working since October 🤑,2024.0
Indika Wettewa,Satisfied,4,2024-10-09 16:07:30,Google Play,Satisfied,2024.0
Senarath Bandara Herath,No self service fearures to manage anything ourselves. Daily usage paid details report not working. Just like SLT customer service. Terrible.,1,2024-09-29 01:49:15,Google Play,No self service fearures to manage anything ourselves. Daily usage paid details report not working. Just like SLT customer service. Terrible.,2024.0
Mohamed Simak,Fee,5,2024-09-24 06:09:11,Google Play,Fee,2024.0
Janith Madushan,"You might say something like: This app is consistently unreliable, often displaying 'temporary service unavailable' messages. It seems like the developers haven't put in enough effort, making it a waste of time. Please avoid this app.",1,2024-09-13 08:10:18,Google Play,"You might say something like: This app is consistently unreliable, often displaying 'temporary service unavailable' messages. It seems like the developers haven't put in enough effort, making it a waste of time. Please avoid this app.",2024.0
Dulanjaya Chandrasekara,❤️,5,2024-09-10 15:06:52,Google Play,❤️,2024.0
